text,label
dummy finance & payments email content 900,Finance & Payments
dummy finance & payments email content 443,Finance & Payments
dummy finance & payments email content 771,Finance & Payments
dummy finance & payments email content 101,Finance & Payments
dummy finance & payments email content 279,Finance & Payments
dummy finance & payments email content 464,Finance & Payments
dummy finance & payments email content 566,Finance & Payments
dummy finance & payments email content 620,Finance & Payments
dummy finance & payments email content 130,Finance & Payments
dummy finance & payments email content 451,Finance & Payments
dummy finance & payments email content 23,Finance & Payments
dummy finance & payments email content 839,Finance & Payments
dummy finance & payments email content 728,Finance & Payments
dummy finance & payments email content 646,Finance & Payments
dummy finance & payments email content 955,Finance & Payments
dummy finance & payments email content 934,Finance & Payments
dummy finance & payments email content 635,Finance & Payments
dummy finance & payments email content 568,Finance & Payments
dummy finance & payments email content 119,Finance & Payments
dummy finance & payments email content 551,Finance & Payments
dummy finance & payments email content 847,Finance & Payments
dummy finance & payments email content 760,Finance & Payments
dummy finance & payments email content 662,Finance & Payments
dummy finance & payments email content 997,Finance & Payments
dummy finance & payments email content 665,Finance & Payments
dummy finance & payments email content 44,Finance & Payments
dummy finance & payments email content 176,Finance & Payments
dummy finance & payments email content 227,Finance & Payments
dummy finance & payments email content 854,Finance & Payments
dummy finance & payments email content 915,Finance & Payments
dummy finance & payments email content 48,Finance & Payments
dummy finance & payments email content 138,Finance & Payments
dummy finance & payments email content 397,Finance & Payments
dummy finance & payments email content 589,Finance & Payments
dummy finance & payments email content 300,Finance & Payments
dummy finance & payments email content 324,Finance & Payments
dummy finance & payments email content 449,Finance & Payments
dummy finance & payments email content 268,Finance & Payments
dummy finance & payments email content 655,Finance & Payments
dummy finance & payments email content 188,Finance & Payments
dummy finance & payments email content 250,Finance & Payments
dummy finance & payments email content 367,Finance & Payments
dummy finance & payments email content 623,Finance & Payments
dummy finance & payments email content 800,Finance & Payments
dummy finance & payments email content 858,Finance & Payments
dummy orders & shopping email content 760,Orders & Shopping
dummy orders & shopping email content 340,Orders & Shopping
dummy orders & shopping email content 520,Orders & Shopping
dummy orders & shopping email content 182,Orders & Shopping
dummy orders & shopping email content 316,Orders & Shopping
dummy orders & shopping email content 481,Orders & Shopping
dummy orders & shopping email content 513,Orders & Shopping
dummy orders & shopping email content 54,Orders & Shopping
dummy orders & shopping email content 154,Orders & Shopping
dummy orders & shopping email content 510,Orders & Shopping
dummy orders & shopping email content 179,Orders & Shopping
dummy orders & shopping email content 427,Orders & Shopping
dummy orders & shopping email content 464,Orders & Shopping
dummy orders & shopping email content 776,Orders & Shopping
dummy orders & shopping email content 37,Orders & Shopping
dummy orders & shopping email content 27,Orders & Shopping
dummy orders & shopping email content 851,Orders & Shopping
dummy orders & shopping email content 290,Orders & Shopping
dummy orders & shopping email content 774,Orders & Shopping
dummy orders & shopping email content 477,Orders & Shopping
dummy orders & shopping email content 208,Orders & Shopping
dummy orders & shopping email content 538,Orders & Shopping
dummy orders & shopping email content 368,Orders & Shopping
dummy orders & shopping email content 586,Orders & Shopping
dummy orders & shopping email content 861,Orders & Shopping
dummy orders & shopping email content 641,Orders & Shopping
dummy orders & shopping email content 600,Orders & Shopping
dummy orders & shopping email content 932,Orders & Shopping
dummy orders & shopping email content 497,Orders & Shopping
dummy orders & shopping email content 293,Orders & Shopping
dummy orders & shopping email content 578,Orders & Shopping
dummy orders & shopping email content 765,Orders & Shopping
dummy orders & shopping email content 658,Orders & Shopping
dummy orders & shopping email content 793,Orders & Shopping
dummy orders & shopping email content 984,Orders & Shopping
dummy orders & shopping email content 168,Orders & Shopping
dummy orders & shopping email content 444,Orders & Shopping
dummy orders & shopping email content 165,Orders & Shopping
dummy orders & shopping email content 143,Orders & Shopping
dummy orders & shopping email content 525,Orders & Shopping
dummy orders & shopping email content 563,Orders & Shopping
dummy orders & shopping email content 174,Orders & Shopping
dummy orders & shopping email content 621,Orders & Shopping
dummy orders & shopping email content 779,Orders & Shopping
dummy orders & shopping email content 715,Orders & Shopping
dummy orders & shopping email content 524,Orders & Shopping
dummy orders & shopping email content 439,Orders & Shopping
dummy orders & shopping email content 193,Orders & Shopping
dummy orders & shopping email content 128,Orders & Shopping
dummy orders & shopping email content 751,Orders & Shopping
dummy travel & bookings email content 571,Travel & Bookings
dummy travel & bookings email content 917,Travel & Bookings
dummy travel & bookings email content 727,Travel & Bookings
dummy travel & bookings email content 545,Travel & Bookings
dummy travel & bookings email content 87,Travel & Bookings
dummy travel & bookings email content 955,Travel & Bookings
dummy travel & bookings email content 460,Travel & Bookings
dummy travel & bookings email content 647,Travel & Bookings
dummy travel & bookings email content 336,Travel & Bookings
dummy travel & bookings email content 326,Travel & Bookings
dummy travel & bookings email content 223,Travel & Bookings
dummy travel & bookings email content 485,Travel & Bookings
dummy travel & bookings email content 46,Travel & Bookings
dummy travel & bookings email content 910,Travel & Bookings
dummy travel & bookings email content 542,Travel & Bookings
dummy travel & bookings email content 763,Travel & Bookings
dummy travel & bookings email content 287,Travel & Bookings
dummy travel & bookings email content 39,Travel & Bookings
dummy travel & bookings email content 368,Travel & Bookings
dummy travel & bookings email content 633,Travel & Bookings
dummy travel & bookings email content 652,Travel & Bookings
dummy travel & bookings email content 895,Travel & Bookings
dummy travel & bookings email content 684,Travel & Bookings
dummy travel & bookings email content 322,Travel & Bookings
dummy travel & bookings email content 444,Travel & Bookings
dummy travel & bookings email content 930,Travel & Bookings
dummy travel & bookings email content 760,Travel & Bookings
dummy travel & bookings email content 611,Travel & Bookings
dummy travel & bookings email content 943,Travel & Bookings
dummy travel & bookings email content 479,Travel & Bookings
dummy travel & bookings email content 330,Travel & Bookings
dummy travel & bookings email content 953,Travel & Bookings
dummy travel & bookings email content 854,Travel & Bookings
dummy travel & bookings email content 719,Travel & Bookings
dummy travel & bookings email content 549,Travel & Bookings
dummy travel & bookings email content 955,Travel & Bookings
dummy travel & bookings email content 7,Travel & Bookings
dummy travel & bookings email content 90,Travel & Bookings
dummy travel & bookings email content 391,Travel & Bookings
dummy travel & bookings email content 903,Travel & Bookings
dummy travel & bookings email content 760,Travel & Bookings
dummy travel & bookings email content 156,Travel & Bookings
dummy travel & bookings email content 179,Travel & Bookings
dummy travel & bookings email content 430,Travel & Bookings
dummy travel & bookings email content 20,Travel & Bookings
dummy travel & bookings email content 206,Travel & Bookings
dummy travel & bookings email content 138,Travel & Bookings
dummy travel & bookings email content 220,Travel & Bookings
dummy travel & bookings email content 799,Travel & Bookings
dummy travel & bookings email content 101,Travel & Bookings
dummy security & account email content 798,Security & Account
dummy security & account email content 947,Security & Account
dummy security & account email content 805,Security & Account
dummy security & account email content 415,Security & Account
dummy security & account email content 773,Security & Account
dummy security & account email content 854,Security & Account
dummy security & account email content 956,Security & Account
dummy security & account email content 272,Security & Account
dummy security & account email content 774,Security & Account
dummy security & account email content 926,Security & Account
dummy security & account email content 467,Security & Account
dummy security & account email content 982,Security & Account
dummy security & account email content 305,Security & Account
dummy security & account email content 977,Security & Account
dummy security & account email content 984,Security & Account
dummy security & account email content 775,Security & Account
dummy security & account email content 384,Security & Account
dummy security & account email content 260,Security & Account
dummy security & account email content 525,Security & Account
dummy security & account email content 947,Security & Account
dummy security & account email content 724,Security & Account
dummy security & account email content 270,Security & Account
dummy security & account email content 252,Security & Account
dummy security & account email content 391,Security & Account
dummy security & account email content 284,Security & Account
dummy security & account email content 638,Security & Account
dummy security & account email content 357,Security & Account
dummy security & account email content 95,Security & Account
dummy security & account email content 493,Security & Account
dummy security & account email content 776,Security & Account
dummy security & account email content 305,Security & Account
dummy security & account email content 547,Security & Account
dummy security & account email content 532,Security & Account
dummy security & account email content 253,Security & Account
dummy security & account email content 938,Security & Account
dummy security & account email content 564,Security & Account
dummy security & account email content 159,Security & Account
dummy security & account email content 573,Security & Account
dummy security & account email content 13,Security & Account
dummy security & account email content 149,Security & Account
dummy security & account email content 910,Security & Account
dummy security & account email content 311,Security & Account
dummy security & account email content 887,Security & Account
dummy security & account email content 338,Security & Account
dummy security & account email content 805,Security & Account
dummy security & account email content 61,Security & Account
dummy security & account email content 960,Security & Account
dummy security & account email content 203,Security & Account
dummy security & account email content 778,Security & Account
dummy security & account email content 560,Security & Account
dummy action required email content 518,Action Required
dummy action required email content 45,Action Required
dummy action required email content 648,Action Required
dummy action required email content 188,Action Required
dummy action required email content 236,Action Required
dummy action required email content 567,Action Required
dummy action required email content 55,Action Required
dummy action required email content 474,Action Required
dummy action required email content 830,Action Required
dummy action required email content 945,Action Required
dummy action required email content 926,Action Required
dummy action required email content 695,Action Required
dummy action required email content 625,Action Required
dummy action required email content 26,Action Required
dummy action required email content 835,Action Required
dummy action required email content 217,Action Required
dummy action required email content 351,Action Required
dummy action required email content 161,Action Required
dummy action required email content 536,Action Required
dummy action required email content 707,Action Required
dummy action required email content 808,Action Required
dummy action required email content 865,Action Required
dummy action required email content 840,Action Required
dummy action required email content 94,Action Required
dummy action required email content 801,Action Required
dummy action required email content 161,Action Required
dummy action required email content 77,Action Required
dummy action required email content 360,Action Required
dummy action required email content 209,Action Required
dummy action required email content 119,Action Required
dummy action required email content 545,Action Required
dummy action required email content 535,Action Required
dummy action required email content 489,Action Required
dummy action required email content 213,Action Required
dummy action required email content 15,Action Required
dummy action required email content 307,Action Required
dummy action required email content 390,Action Required
dummy action required email content 72,Action Required
dummy action required email content 172,Action Required
dummy action required email content 361,Action Required
dummy action required email content 485,Action Required
dummy action required email content 698,Action Required
dummy action required email content 590,Action Required
dummy action required email content 867,Action Required
dummy action required email content 787,Action Required
dummy action required email content 704,Action Required
dummy action required email content 72,Action Required
dummy action required email content 938,Action Required
dummy action required email content 576,Action Required
dummy action required email content 280,Action Required
dummy updates & notifications email content 123,Updates & Notifications
dummy updates & notifications email content 264,Updates & Notifications
dummy updates & notifications email content 758,Updates & Notifications
dummy updates & notifications email content 892,Updates & Notifications
dummy updates & notifications email content 955,Updates & Notifications
dummy updates & notifications email content 375,Updates & Notifications
dummy updates & notifications email content 730,Updates & Notifications
dummy updates & notifications email content 814,Updates & Notifications
dummy updates & notifications email content 616,Updates & Notifications
dummy updates & notifications email content 8,Updates & Notifications
dummy updates & notifications email content 500,Updates & Notifications
dummy updates & notifications email content 389,Updates & Notifications
dummy updates & notifications email content 867,Updates & Notifications
dummy updates & notifications email content 75,Updates & Notifications
dummy updates & notifications email content 569,Updates & Notifications
dummy updates & notifications email content 999,Updates & Notifications
dummy updates & notifications email content 799,Updates & Notifications
dummy updates & notifications email content 606,Updates & Notifications
dummy updates & notifications email content 802,Updates & Notifications
dummy updates & notifications email content 173,Updates & Notifications
dummy updates & notifications email content 893,Updates & Notifications
dummy updates & notifications email content 752,Updates & Notifications
dummy updates & notifications email content 847,Updates & Notifications
dummy updates & notifications email content 266,Updates & Notifications
dummy updates & notifications email content 162,Updates & Notifications
dummy updates & notifications email content 403,Updates & Notifications
dummy updates & notifications email content 198,Updates & Notifications
dummy updates & notifications email content 370,Updates & Notifications
dummy updates & notifications email content 578,Updates & Notifications
dummy updates & notifications email content 46,Updates & Notifications
dummy updates & notifications email content 561,Updates & Notifications
dummy updates & notifications email content 492,Updates & Notifications
dummy updates & notifications email content 460,Updates & Notifications
dummy updates & notifications email content 102,Updates & Notifications
dummy updates & notifications email content 709,Updates & Notifications
dummy updates & notifications email content 158,Updates & Notifications
dummy updates & notifications email content 799,Updates & Notifications
dummy updates & notifications email content 798,Updates & Notifications
dummy updates & notifications email content 338,Updates & Notifications
dummy updates & notifications email content 944,Updates & Notifications
dummy updates & notifications email content 766,Updates & Notifications
dummy updates & notifications email content 269,Updates & Notifications
dummy updates & notifications email content 969,Updates & Notifications
dummy updates & notifications email content 927,Updates & Notifications
dummy updates & notifications email content 6,Updates & Notifications
dummy updates & notifications email content 510,Updates & Notifications
dummy updates & notifications email content 837,Updates & Notifications
dummy updates & notifications email content 786,Updates & Notifications
dummy updates & notifications email content 483,Updates & Notifications
dummy updates & notifications email content 934,Updates & Notifications
dummy promotions & marketing email content 355,Promotions & Marketing
dummy promotions & marketing email content 214,Promotions & Marketing
dummy promotions & marketing email content 564,Promotions & Marketing
dummy promotions & marketing email content 234,Promotions & Marketing
dummy promotions & marketing email content 730,Promotions & Marketing
dummy promotions & marketing email content 510,Promotions & Marketing
dummy promotions & marketing email content 25,Promotions & Marketing
dummy promotions & marketing email content 752,Promotions & Marketing
dummy promotions & marketing email content 842,Promotions & Marketing
dummy promotions & marketing email content 129,Promotions & Marketing
dummy promotions & marketing email content 857,Promotions & Marketing
dummy promotions & marketing email content 840,Promotions & Marketing
dummy promotions & marketing email content 500,Promotions & Marketing
dummy promotions & marketing email content 721,Promotions & Marketing
dummy promotions & marketing email content 320,Promotions & Marketing
dummy promotions & marketing email content 325,Promotions & Marketing
dummy promotions & marketing email content 984,Promotions & Marketing
dummy promotions & marketing email content 904,Promotions & Marketing
dummy promotions & marketing email content 636,Promotions & Marketing
dummy promotions & marketing email content 585,Promotions & Marketing
dummy promotions & marketing email content 181,Promotions & Marketing
dummy promotions & marketing email content 540,Promotions & Marketing
dummy promotions & marketing email content 441,Promotions & Marketing
dummy promotions & marketing email content 816,Promotions & Marketing
dummy promotions & marketing email content 963,Promotions & Marketing
dummy promotions & marketing email content 723,Promotions & Marketing
dummy promotions & marketing email content 10,Promotions & Marketing
dummy promotions & marketing email content 50,Promotions & Marketing
dummy promotions & marketing email content 109,Promotions & Marketing
dummy promotions & marketing email content 945,Promotions & Marketing
dummy promotions & marketing email content 196,Promotions & Marketing
dummy promotions & marketing email content 496,Promotions & Marketing
dummy promotions & marketing email content 137,Promotions & Marketing
dummy promotions & marketing email content 755,Promotions & Marketing
dummy promotions & marketing email content 815,Promotions & Marketing
dummy promotions & marketing email content 342,Promotions & Marketing
dummy promotions & marketing email content 495,Promotions & Marketing
dummy promotions & marketing email content 152,Promotions & Marketing
dummy promotions & marketing email content 129,Promotions & Marketing
dummy promotions & marketing email content 858,Promotions & Marketing
dummy promotions & marketing email content 192,Promotions & Marketing
dummy promotions & marketing email content 545,Promotions & Marketing
dummy promotions & marketing email content 196,Promotions & Marketing
dummy promotions & marketing email content 852,Promotions & Marketing
dummy promotions & marketing email content 40,Promotions & Marketing
dummy promotions & marketing email content 179,Promotions & Marketing
dummy promotions & marketing email content 477,Promotions & Marketing
dummy promotions & marketing email content 489,Promotions & Marketing
dummy promotions & marketing email content 481,Promotions & Marketing
dummy promotions & marketing email content 899,Promotions & Marketing
dummy personal email content 956,Personal
dummy personal email content 275,Personal
dummy personal email content 427,Personal
dummy personal email content 769,Personal
dummy personal email content 987,Personal
dummy personal email content 946,Personal
dummy personal email content 525,Personal
dummy personal email content 61,Personal
dummy personal email content 965,Personal
dummy personal email content 649,Personal
dummy personal email content 301,Personal
dummy personal email content 524,Personal
dummy personal email content 184,Personal
dummy personal email content 65,Personal
dummy personal email content 480,Personal
dummy personal email content 113,Personal
dummy personal email content 114,Personal
dummy personal email content 769,Personal
dummy personal email content 91,Personal
dummy personal email content 920,Personal
dummy personal email content 997,Personal
dummy personal email content 919,Personal
dummy personal email content 597,Personal
dummy personal email content 502,Personal
dummy personal email content 409,Personal
dummy personal email content 472,Personal
dummy personal email content 17,Personal
dummy personal email content 756,Personal
dummy personal email content 659,Personal
dummy personal email content 880,Personal
dummy personal email content 866,Personal
dummy personal email content 984,Personal
dummy personal email content 596,Personal
dummy personal email content 603,Personal
dummy personal email content 189,Personal
dummy personal email content 100,Personal
dummy personal email content 491,Personal
dummy personal email content 833,Personal
dummy personal email content 228,Personal
dummy personal email content 449,Personal
dummy personal email content 682,Personal
dummy personal email content 415,Personal
dummy personal email content 726,Personal
dummy personal email content 551,Personal
dummy personal email content 171,Personal
dummy personal email content 89,Personal
dummy personal email content 874,Personal
dummy personal email content 840,Personal
dummy personal email content 581,Personal
dummy personal email content 652,Personal
Project status meeting tomorrow at 10 AM. Please bring the reports.,Work & Projects
Technical interview scheduled for next week with the hiring manager.,Education & Career
Your credit card payment of .00 is due on the 15th.,Finance & Payments
Your Amazon order has been shipped and will arrive tomorrow.,Orders & Shopping
Flight booking confirmed. Your e-ticket is attached.,Travel & Bookings
Security alert: New login detected from an unrecognized device.,Security & Account
Action Required: Please submit the NDA document by Friday.,Action Required
Product update: Check out the new features we released this week.,Updates & Notifications
50% off all items this weekend only! Don't miss our huge sale.,Promotions & Marketing
"Hey, are we still on for dinner this weekend? Let me know.",Personal
